Tumor_SRR30510137,Tumor_SRR30510151,Tumor_SRR30510181,Normal_SRR28602760,Normal_SRR28602761,Normal_SRR28602767
0,1,0,0,0,0
6,2,0,2,1,0
2,0,0,0,0,2
6,0,0,0,2,4
60,134,56,52,18,20
0,0,0,0,0,1
0,0,10,9,17,1
0,0,0,48,74,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,0,2,2,0
0,0,4,0,2,1
2,23,9,28,7,8
2284,2103,2245,2883,2943,2898
3856,2296,489,289,343,506
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,5,0,1,0,0
8,2,4,0,0,4
0,2,0,0,0,0
0,0,0,0,0,2
0,0,0,2,2,0
5845,5117,1958,630,692,978
283,56,55,392,195,319
0,2,0,0,0,0
211,96,119,1097,3492,5169
3723,3982,2369,1178,1610,1817
16,0,26,24,12,50
0,0,0,0,0,0
3,12,22,31,132,29
69,4,125,139,252,213
35,26,51,46,40,58
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1346,739,562,326,392,264
538,4,2495,2022,1368,4100
0,0,0,0,0,0
2,2,0,0,0,0
4,0,0,1,0,4
0,0,0,0,0,0
0,0,0,10,0,6
7158,4608,1668,932,2088,3098
0,0,0,0,0,0
94,16,1,33,42,37
17,13,19,0,1,1
1557,548,479,459,706,1363
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,2,0
3218,2956,122,1571,1116,673
8,0,0,77,20,4
0,4,0,35,43,51
1335,2171,598,959,2017,2692
0,0,0,0,0,0
0,0,8,2,0,14
0,0,0,0,4,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,4,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,2
0,0,0,0,0,0
0,0,0,3,3,4
0,1,5,0,0,0
584,1732,329,654,499,856
20,11,1,5,13,25
0,4,0,6,14,7
0,0,0,0,0,0
9,2,2,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,0,24,26,14,44
0,0,0,0,0,0
0,0,0,0,0,0
2,0,2,0,0,0
3503,442,373,34,12,26
0,0,0,0,0,0
2,2,0,0,0,0
0,0,0,0,0,2
0,0,0,0,0,2
0,0,0,0,0,0
28,26,0,51,102,132
0,0,0,0,0,0
0,0,0,0,0,0
6,4,17,2,8,2
801,485,451,346,372,467
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2,0
8,0,0,38,38,48
2644,2032,1433,1111,1039,1540
0,0,0,0,0,0
55,7,0,0,0,0
50,70,0,130,203,179
0,0,0,0,0,0
0,0,0,0,0,0
8,82,123,6573,9597,12560
1,0,14,2,0,0
0,0,0,0,0,2
3260,767,3211,1082,2338,5600
0,0,0,0,0,0
0,0,0,0,1,0
12,0,18,2,10,0
2,2,0,2,2,2
9,0,0,19,24,41
29,6,202,117,293,490
120,94,37,41,156,159
2,0,0,2,0,0
0,0,0,0,4,0
34,30,13,4,0,2
0,0,0,0,0,0
0,0,0,0,0,0
2323,4077,4342,13456,22671,23521
3627,4856,2379,4756,3526,2826
99,52,11,10,9,22
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
179,48,84,29,28,77
2255,701,341,92,233,462
0,0,0,0,0,0
5329,5188,923,1134,844,826
60,70,2,2,6,6
0,3,0,2,0,0
2,3,2,8,4,0
0,0,0,0,0,1
10504,6970,3777,6760,6382,5316
1277,351,135,818,622,194
0,0,0,0,0,4
0,0,0,0,2,0
40288,30145,14788,3723,3809,5637
0,0,0,0,5,3
0,0,0,0,0,0
0,0,0,0,0,0
2473,3182,802,290,248,224
214,4,572,819,985,2487
4,0,0,0,0,0
5,0,0,0,6,1
4439,2440,2763,1738,3046,5447
4785,5767,1185,1019,945,1512
0,0,0,0,0,0
0,0,0,0,0,0
4718,3692,2957,699,1081,2745
0,0,0,0,0,0
0,0,0,2,3,6
116,102,10,31,35,16
3075,2398,972,1691,2853,2318
164,144,78,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
16969,36893,2160,5695,3590,4170
0,0,0,2,4,0
0,0,42,5,27,112
20,22,0,8,1,0
0,0,0,0,0,0
40,4,211,67,40,52
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
0,0,0,0,0,0
20,30,21,25,85,43
6,0,0,20,10,0
2,2,0,2,0,0
47,0,28,12,14,14
0,0,0,0,0,0
72,34,66,653,600,345
0,0,0,0,0,0
21942,21146,1864,2617,4670,6154
1,0,0,0,0,1
18551,10715,1137,40682,35375,21383
1831,1140,511,191,348,430
4,0,0,12,22,6
0,0,0,0,0,0
0,0,0,0,0,2
0,0,0,2,1,1
0,0,0,0,0,0
6,1,2,36,14,16
6223,4327,1812,1608,1147,1280
0,0,0,0,0,0
0,0,0,0,0,0
1837,2596,1331,519,907,1040
529,510,669,362,266,414
2,0,0,0,6,2
0,0,0,0,0,0
2,0,0,0,0,0
6,19,0,21,6,37
2,1,0,0,0,0
0,0,0,0,0,0
40,166,8,77,24,16
36,237,106,100,115,55
2751,570,1197,208,286,263
1,2,1,0,0,2
4,10,1,3,0,2
6,0,0,8,12,4
0,2,0,8,0,2
0,0,0,0,0,0
